dataset,horizon,model,feature_mode,run_tag,MSE,MAE,MAPE,R2,MSE_target,MAE_target,MAPE_target,R2_target,best_val_loss,best_val_r2,trained_epochs,seed,sample_limit,train_samples,val_samples,test_samples,input_size,model_params,train_time_seconds,device,use_validation_best
ETTh1,96,autoformer,multivariate,feature_mode_full_seed42,0.5403439998626709,0.5141874551773071,869.6912841796875,0.5765784978866577,0.15041780471801758,0.3057801425457001,32.308589935302734,0.031140387058258057,0.6588750908320601,0.4641101306135004,23,42,0,8449,2689,5709,7,103239,57.60331606864929,cuda,True
ETTh1,96,autoformer,univariate,feature_mode_full_seed42,0.07647891342639923,0.21219192445278168,28.10818862915039,0.5073899030685425,0.07647891342639923,0.21219192445278168,28.10818862915039,0.5073899030685425,0.09589223606003956,-0.6069645448164507,22,42,0,8449,2689,5709,1,102465,45.89744591712952,cuda,True
ETTh1,96,informer,multivariate,feature_mode_full_seed42,0.9640058875083923,0.7757982611656189,1040.205322265625,0.24459075927734375,0.866662323474884,0.8241870999336243,69.39407348632812,-4.582278728485107,0.8650550578128208,0.33590165322477167,14,42,0,8449,2689,5709,7,189159,29.278563499450684,cuda,True
ETTh1,96,informer,univariate,feature_mode_full_seed42,0.14095823466777802,0.2999034523963928,34.25917434692383,0.09207063913345337,0.14095823466777802,0.2999034523963928,34.25917434692383,0.09207063913345337,0.09906001118096439,-0.721759397875179,36,42,0,8449,2689,5709,1,188385,58.50513577461243,cuda,True
ETTh1,96,lstm,multivariate,feature_mode_full_seed42,1.0492475032806396,0.772559642791748,1627.3521728515625,0.1777942180633545,0.38355937600135803,0.5405451655387878,49.6211051940918,-1.4705531597137451,0.9404252063144337,0.3106948272748427,16,42,0,8449,2689,5709,7,509856,23.88501501083374,cuda,True
ETTh1,96,lstm,univariate,feature_mode_full_seed42,0.1486111581325531,0.3028919994831085,31.209552764892578,0.042777299880981445,0.1486111581325531,0.3028919994831085,31.209552764892578,0.042777299880981445,0.10497284833003175,-0.8106865611943331,22,42,0,8449,2689,5709,1,355680,22.176010370254517,cuda,True
ETTh1,96,patchtst,multivariate,feature_mode_full_seed42,0.48098915815353394,0.47252798080444336,768.7981567382812,0.6230897903442383,0.08919179439544678,0.23068439960479736,28.378238677978516,0.4255046844482422,0.6955862275578759,0.45118745077740063,31,42,0,8449,2689,5709,7,100672,48.09795355796814,cuda,True
ETTh1,96,patchtst,univariate,feature_mode_full_seed42,0.1564207226037979,0.32222166657447815,38.5037956237793,-0.007525205612182617,0.1564207226037979,0.32222166657447815,38.5037956237793,-0.007525205612182617,0.12207340669225562,-1.0575728308070789,13,42,0,8449,2689,5709,1,100672,15.861076831817627,cuda,True
ETTh1,96,transformer,multivariate,feature_mode_full_seed42,1.043161153793335,0.7895181179046631,1318.345947265625,0.18256354331970215,0.819254994392395,0.7830561399459839,67.01151275634766,-4.276922225952148,0.8765348345041275,0.3138830363750458,13,42,0,8449,2689,5709,7,303392,19.02129888534546,cuda,True
ETTh1,96,transformer,univariate,feature_mode_full_seed42,0.1372937262058258,0.29422223567962646,33.8397102355957,0.11567419767379761,0.1372937262058258,0.29422223567962646,33.8397102355957,0.11567419767379761,0.11061696318740194,-1.042844980955124,17,42,0,8449,2689,5709,1,228320,20.188050985336304,cuda,True
