dataset,horizon,model,run_tag,MAPE,MAPE_target,MSE,MAE,R2,MSE_target,MAE_target,R2_target
ETTm1,24,autoformer,formal_seed42,192.2710418701172,10.826930046081543,0.30705949664115906,0.35164764523506165,0.7589346170425415,0.019020697101950645,0.10009301453828812,0.8782714605331421
ETTm1,24,informer,formal_seed42,198.01544189453125,27.953062057495117,0.4829420745372772,0.4498685300350189,0.6208533048629761,0.13416217267513275,0.28318899869918823,0.1413899064064026
ETTm1,24,lstm,formal_seed42,207.64990234375,30.16244125366211,0.5738314986228943,0.5129918456077576,0.5494980812072754,0.13174806535243988,0.27782967686653137,0.15683972835540771
ETTm1,24,patchtst,formal_seed42,168.77955627441406,10.260128021240234,0.31239384412765503,0.3407658338546753,0.7547467947006226,0.016327856108546257,0.0908074751496315,0.8955051302909851
ETTm1,24,transformer,formal_seed42,194.55809020996094,21.70516014099121,0.5019618272781372,0.44214996695518494,0.6059212684631348,0.06982756406068802,0.21389687061309814,0.5531180500984192
ETTm1,48,autoformer,formal_seed42,221.33213806152344,17.37769889831543,0.4474732577800751,0.43947499990463257,0.6485849618911743,0.038574595004320145,0.14856082201004028,0.7532556056976318
ETTm1,48,informer,formal_seed42,209.9893798828125,20.978168487548828,0.7574121952056885,0.5532171130180359,0.40518009662628174,0.07232334464788437,0.2039751410484314,0.5373799800872803
ETTm1,48,lstm,formal_seed42,225.96218872070312,27.66786766052246,0.7902225852012634,0.5947834849357605,0.37941300868988037,0.1261122077703476,0.27198487520217896,0.19331669807434082
ETTm1,48,patchtst,formal_seed42,198.03416442871094,13.49052906036377,0.45278310775756836,0.41703668236732483,0.644415020942688,0.03188196197152138,0.13029664754867554,0.7960653901100159
ETTm1,48,transformer,formal_seed42,215.65135192871094,27.095041275024414,0.7587051391601562,0.5619596838951111,0.4041646718978882,0.10734238475561142,0.2650321125984192,0.31337887048721313
ETTm1,96,autoformer,formal_seed42,223.6817169189453,19.084426879882812,0.46052443981170654,0.4522871971130371,0.6375195980072021,0.053474873304367065,0.17381516098976135,0.6581381559371948
ETTm1,96,informer,formal_seed42,218.25192260742188,48.15570068359375,0.6951895952224731,0.5762917995452881,0.45281386375427246,0.38266366720199585,0.501711905002594,-1.4463474750518799
ETTm1,96,lstm,formal_seed42,222.4118194580078,43.19211959838867,0.874116837978363,0.6534501910209656,0.31197965145111084,0.2916897237300873,0.45392727851867676,-0.8647562265396118
ETTm1,96,patchtst,formal_seed42,199.96449279785156,19.09246063232422,0.46696192026138306,0.4349454641342163,0.632452666759491,0.06121998652815819,0.18839499354362488,0.6086240410804749
ETTm1,96,transformer,formal_seed42,247.2098388671875,40.191261291503906,0.7791895270347595,0.6147754788398743,0.3866972327232361,0.2718246877193451,0.43364229798316956,-0.737760066986084
ETTm1,168,autoformer,formal_seed42,234.56271362304688,22.904897689819336,0.5085729956626892,0.48025450110435486,0.599254846572876,0.07114717364311218,0.2041866034269333,0.5451004505157471
ETTm1,168,informer,formal_seed42,255.5514373779297,41.9305534362793,0.7756838798522949,0.6230519413948059,0.3887770175933838,0.30722686648368835,0.4451770484447479,-0.9643417596817017
ETTm1,168,lstm,formal_seed42,250.25384521484375,44.45099639892578,0.9400553107261658,0.6948147416114807,0.25925564765930176,0.2947482466697693,0.4585200250148773,-0.8845561742782593
ETTm1,168,patchtst,formal_seed42,223.2554473876953,23.02935791015625,0.5103133916854858,0.4670921266078949,0.5978834629058838,0.09453654289245605,0.230244979262352,0.39555394649505615
ETTm1,168,transformer,formal_seed42,211.71900939941406,34.413604736328125,0.8717475533485413,0.6429835557937622,0.3130807876586914,0.2168549746274948,0.3743985593318939,-0.38652336597442627
ETTm1,336,autoformer,formal_seed42,227.68714904785156,28.82451057434082,0.5546035766601562,0.5078021883964539,0.5626834630966187,0.10701140016317368,0.2530696988105774,0.3149392008781433
ETTm1,336,informer,formal_seed42,289.11529541015625,44.55558776855469,1.0021332502365112,0.7181486487388611,0.20979690551757812,0.3647255301475525,0.4805368483066559,-1.334883689880371
ETTm1,336,lstm,formal_seed42,268.5190124511719,55.89875030517578,1.0613834857940674,0.7556458115577698,0.16307681798934937,0.49804702401161194,0.6048265695571899,-2.188375234603882
ETTm1,336,patchtst,formal_seed42,218.74737548828125,30.46172523498535,0.5589854717254639,0.5040627717971802,0.5592281818389893,0.160014808177948,0.31291818618774414,-0.02437567710876465
ETTm1,336,transformer,formal_seed42,289.9212341308594,51.51783752441406,1.0516865253448486,0.7669110298156738,0.17072314023971558,0.45041683316230774,0.5679804086685181,-1.8834583759307861
