base_model,ablation_model,mean_delta_MSE,mean_delta_MSE_pct,mean_delta_R2
autoformer_ablation_base,autoformer_no_autocorr,-0.020742222666740417,-3.060953602121257,0.016311198472976685
autoformer_ablation_base,autoformer_no_decomp,0.38653065264225006,66.15661819034271,-0.3040856271982193
patchtst_ablation_base,patchtst_channel_mix,0.7212275788187981,139.2445649535879,-0.5665073543787003
patchtst_ablation_base,patchtst_no_patch,0.0388222262263298,7.662414941391546,-0.030526652932167053
