dataset,horizon,model,run_tag,MSE,MAE,R2,MSE_target,MAE_target,R2_target,best_val_loss,best_val_r2,trained_epochs,seed,sample_limit,train_samples,val_samples,test_samples,model_params,train_time_seconds,device,data_dir
ETTh1,96,autoformer_ablation_base,ablation_rerun_seed42,0.5403439998626709,0.5141874551773071,0.5765784978866577,0.15041780471801758,0.3057801425457001,0.031140387058258057,0.6588750908320601,0.4641101306135004,23,42,0,8449,2689,5709,103239,36.53727626800537,cuda,/root/workspace/data/processed
ETTh1,96,autoformer_no_autocorr,ablation_rerun_seed42,0.5469699501991272,0.5124871134757996,0.5713863372802734,0.15605439245700836,0.3039586544036865,-0.005165576934814453,0.6664630960334431,0.4518117173151536,16,42,0,8449,2689,5709,103239,22.348209619522095,cuda,/root/workspace/data/processed
ETTh1,96,autoformer_no_decomp,ablation_rerun_seed42,0.7851967215538025,0.658322811126709,0.3847082853317261,0.5946904420852661,0.6454415917396545,-2.8304741382598877,0.8322893882339651,0.36322198672728107,14,42,0,8449,2689,5709,103239,19.60099697113037,cuda,/root/workspace/data/processed
ETTh1,96,patchtst_ablation_base,ablation_rerun_seed42,0.48098915815353394,0.47252798080444336,0.6230897903442383,0.08919179439544678,0.23068439960479736,0.4255046844482422,0.6955862275578759,0.45118745077740063,31,42,0,8449,2689,5709,100672,42.968422412872314,cuda,/root/workspace/data/processed
ETTh1,96,patchtst_channel_mix,ablation_rerun_seed42,1.7701902389526367,1.0531178712844849,-0.3871471881866455,0.46373605728149414,0.5742884278297424,-1.98698091506958,1.251223236322403,-0.02916462854905562,14,42,0,8449,2689,5709,125728,16.1318302154541,cuda,/root/workspace/data/processed
ETTh1,96,patchtst_no_patch,ablation_rerun_seed42,0.5322523713111877,0.5038098692893982,0.5829192399978638,0.08445832133293152,0.22059057652950287,0.45599353313446045,0.7529089017347856,0.4050090502608906,22,42,0,8449,2689,5709,79456,47.754908323287964,cuda,/root/workspace/data/processed
ETTh1,336,autoformer_ablation_base,ablation_rerun_seed42,0.7133598327636719,0.6087449789047241,0.43921446800231934,0.23422598838806152,0.39230117201805115,-0.49259912967681885,1.040268111228943,0.2163146048784256,16,42,0,8209,2449,5469,149799,35.38621973991394,cuda,/root/workspace/data/processed
ETTh1,336,autoformer_no_autocorr,ablation_rerun_seed42,0.6358717083930969,0.5811588764190674,0.5001293420791626,0.23044505715370178,0.3824865221977234,-0.46850526332855225,1.0560374543070794,0.20201664865016938,22,42,0,8209,2449,5469,149799,29.775801420211792,cuda,/root/workspace/data/processed
ETTh1,336,autoformer_no_decomp,ablation_rerun_seed42,1.2517756223678589,0.8908740878105164,0.015955746173858643,0.45373785495758057,0.5895917415618896,-1.891432762145996,1.2097606122493745,0.10316798686981202,12,42,0,8209,2449,5469,149799,19.026574850082397,cuda,/root/workspace/data/processed
ETTh1,336,patchtst_ablation_base,ablation_rerun_seed42,0.5845398902893066,0.5407739281654358,0.5404822826385498,0.1273222118616104,0.2851191759109497,0.1886425018310547,1.0827111676335335,0.18867538273334503,29,42,0,8209,2449,5469,177952,45.79759907722473,cuda,/root/workspace/data/processed
ETTh1,336,patchtst_channel_mix,ablation_rerun_seed42,1.45634925365448,0.9598832130432129,-0.14486336708068848,0.642141580581665,0.6912402510643005,-3.0920310020446777,1.606904998421669,-0.18660619258880615,12,42,0,8209,2449,5469,234928,18.929591178894043,cuda,/root/workspace/data/processed
ETTh1,336,patchtst_no_patch,ablation_rerun_seed42,0.5986038446426392,0.5482611656188965,0.5294263362884521,0.1551414132118225,0.3123060166835785,0.011365354061126709,1.0946891710162163,0.17242712676525115,21,42,0,8209,2449,5469,95056,43.24637293815613,cuda,/root/workspace/data/processed
ETTm1,96,autoformer_ablation_base,ablation_rerun_seed42,0.48669368028640747,0.46491074562072754,0.6169219613075256,0.050453800708055496,0.17083513736724854,0.6774517893791199,0.4081313704674164,0.5911771226465032,13,42,0,34369,11329,23409,103239,107.33355736732483,cuda,/root/workspace/data/processed
ETTm1,96,autoformer_no_autocorr,ablation_rerun_seed42,0.4695408344268799,0.4559348225593567,0.6304230093955994,0.05495127663016319,0.1763136237859726,0.6486996412277222,0.40322835659712886,0.6015449742252907,15,42,0,34369,11329,23409,103239,96.26023316383362,cuda,/root/workspace/data/processed
ETTm1,96,autoformer_no_decomp,ablation_rerun_seed42,0.7072919011116028,0.5838348865509033,0.4432884454727173,0.13607332110404968,0.2924017906188965,0.13009107112884521,0.5663060345006793,0.541149902209807,13,42,0,34369,11329,23409,103239,92.55467081069946,cuda,/root/workspace/data/processed
ETTm1,96,patchtst_ablation_base,ablation_rerun_seed42,0.47566279768943787,0.4412437379360199,0.6256043910980225,0.04389667138457298,0.15301869809627533,0.7193711400032043,0.4621528924516078,0.577003910300437,15,42,0,34369,11329,23409,100672,80.48557329177856,cuda,/root/workspace/data/processed
ETTm1,96,patchtst_channel_mix,ablation_rerun_seed42,0.7319835424423218,0.5877915620803833,0.4238535761833191,0.11083975434303284,0.2552320659160614,0.29140788316726685,0.6762841305371081,0.4634646143806115,13,42,0,34369,11329,23409,125728,75.80584502220154,cuda,/root/workspace/data/processed
ETTm1,96,patchtst_no_patch,ablation_rerun_seed42,0.515521228313446,0.45472776889801025,0.5942317247390747,0.044621776789426804,0.15793462097644806,0.7147355675697327,0.48633428143986157,0.5704035966583852,16,42,0,34369,11329,23409,79456,142.0695140361786,cuda,/root/workspace/data/processed
