dataset,horizon,base_model,ablation_model,base_MSE,ablation_MSE,delta_MSE,delta_MSE_pct,base_MAE,ablation_MAE,delta_MAE,base_R2,ablation_R2,delta_R2,base_MSE_target,ablation_MSE_target,base_params,ablation_params,base_train_time_seconds,ablation_train_time_seconds
ETTh1,96,autoformer_ablation_base,autoformer_no_autocorr,0.5403439998626709,0.5469699501991272,0.006625950336456299,1.2262466531534775,0.5141874551773071,0.5124871134757996,-0.0017003417015075684,0.5765784978866577,0.5713863372802734,-0.005192160606384277,0.15041780471801758,0.15605439245700836,103239,103239,36.53727626800537,22.348209619522095
ETTh1,96,autoformer_ablation_base,autoformer_no_decomp,0.5403439998626709,0.7851967215538025,0.2448527216911316,45.31422893970106,0.5141874551773071,0.658322811126709,0.14413535594940186,0.5765784978866577,0.3847082853317261,-0.19187021255493164,0.15041780471801758,0.5946904420852661,103239,103239,36.53727626800537,19.60099697113037
ETTh1,96,patchtst_ablation_base,patchtst_channel_mix,0.48098915815353394,1.7701902389526367,1.2892010807991028,268.0312086337013,0.47252798080444336,1.0531178712844849,0.5805898904800415,0.6230897903442383,-0.3871471881866455,-1.0102369785308838,0.08919179439544678,0.46373605728149414,100672,125728,42.968422412872314,16.1318302154541
ETTh1,96,patchtst_ablation_base,patchtst_no_patch,0.48098915815353394,0.5322523713111877,0.05126321315765381,10.657872682340813,0.47252798080444336,0.5038098692893982,0.031281888484954834,0.6230897903442383,0.5829192399978638,-0.04017055034637451,0.08919179439544678,0.08445832133293152,100672,79456,42.968422412872314,47.754908323287964
ETTh1,336,autoformer_ablation_base,autoformer_no_autocorr,0.7133598327636719,0.6358717083930969,-0.07748812437057495,-10.862417496108748,0.6087449789047241,0.5811588764190674,-0.02758610248565674,0.43921446800231934,0.5001293420791626,0.06091487407684326,0.23422598838806152,0.23044505715370178,149799,149799,35.38621973991394,29.775801420211792
ETTh1,336,autoformer_ablation_base,autoformer_no_decomp,0.7133598327636719,1.2517756223678589,0.538415789604187,75.47604411236225,0.6087449789047241,0.8908740878105164,0.28212910890579224,0.43921446800231934,0.015955746173858643,-0.4232587218284607,0.23422598838806152,0.45373785495758057,149799,149799,35.38621973991394,19.026574850082397
ETTh1,336,patchtst_ablation_base,patchtst_channel_mix,0.5845398902893066,1.45634925365448,0.8718093633651733,149.14454307288315,0.5407739281654358,0.9598832130432129,0.4191092848777771,0.5404822826385498,-0.14486336708068848,-0.6853456497192383,0.1273222118616104,0.642141580581665,177952,234928,45.79759907722473,18.929591178894043
ETTh1,336,patchtst_ablation_base,patchtst_no_patch,0.5845398902893066,0.5986038446426392,0.01406395435333252,2.4059870586031575,0.5407739281654358,0.5482611656188965,0.007487237453460693,0.5404822826385498,0.5294263362884521,-0.011055946350097656,0.1273222118616104,0.1551414132118225,177952,95056,45.79759907722473,43.24637293815613
ETTm1,96,autoformer_ablation_base,autoformer_no_autocorr,0.48669368028640747,0.4695408344268799,-0.017152845859527588,-3.524361667691552,0.46491074562072754,0.4559348225593567,-0.00897592306137085,0.6169219613075256,0.6304230093955994,0.01350104808807373,0.050453800708055496,0.05495127663016319,103239,103239,107.33355736732483,96.26023316383362
ETTm1,96,autoformer_ablation_base,autoformer_no_decomp,0.48669368028640747,0.7072919011116028,0.2205982208251953,45.32588468434399,0.46491074562072754,0.5838348865509033,0.11892414093017578,0.6169219613075256,0.4432884454727173,-0.17363351583480835,0.050453800708055496,0.13607332110404968,103239,103239,107.33355736732483,92.55467081069946
ETTm1,96,patchtst_ablation_base,patchtst_channel_mix,0.47566279768943787,0.7319835424423218,0.2563207447528839,53.88706886669953,0.4412437379360199,0.5877915620803833,0.1465478241443634,0.6256043910980225,0.4238535761833191,-0.20175081491470337,0.04389667138457298,0.11083975434303284,100672,125728,80.48557329177856,75.80584502220154
ETTm1,96,patchtst_ablation_base,patchtst_no_patch,0.47566279768943787,0.515521228313446,0.03985843062400818,8.37955584915773,0.4412437379360199,0.45472776889801025,0.013484030961990356,0.6256043910980225,0.5942317247390747,-0.031372666358947754,0.04389667138457298,0.044621776789426804,100672,79456,80.48557329177856,142.0695140361786
ETTm1,336,autoformer_ablation_base,autoformer_no_autocorr,0.5504559278488159,0.5555020570755005,0.00504612922668457,0.9167181021617941,0.5077541470527649,0.511398434638977,0.003644287586212158,0.5659539699554443,0.5619750022888184,-0.0039789676666259766,0.12011823803186417,0.1242307648062706,149799,149799,116.45082211494446,80.24653005599976
ETTm1,336,autoformer_ablation_base,autoformer_no_decomp,0.5504559278488159,1.0927118062973022,0.5422558784484863,98.51031502496357,0.5077541470527649,0.7681065797805786,0.2603524327278137,0.5659539699554443,0.13837391138076782,-0.4275800585746765,0.12011823803186417,0.39174604415893555,149799,149799,116.45082211494446,85.7844512462616
ETTm1,336,patchtst_ablation_base,patchtst_channel_mix,0.5442317724227905,1.0118108987808228,0.4675791263580322,85.91543924106767,0.5006131529808044,0.7417471408843994,0.24113398790359497,0.5708618760108948,0.2021659016609192,-0.3686959743499756,0.19384022057056427,0.3251965045928955,177952,234928,99.23775601387024,80.72397041320801
ETTm1,336,patchtst_ablation_base,patchtst_no_patch,0.5442317724227905,0.5943350791931152,0.05010330677032471,9.206244175464485,0.5006131529808044,0.5250217318534851,0.024408578872680664,0.5708618760108948,0.5313544273376465,-0.03950744867324829,0.19384022057056427,0.17431187629699707,177952,95056,99.23775601387024,164.5130615234375
