dataset,horizon,model,run_tag,MSE,MAE,R2,MSE_target,MAE_target,R2_target,best_val_loss,best_val_r2,trained_epochs,seed,sample_limit,train_samples,val_samples,test_samples,model_params,train_time_seconds,device,data_dir
ETTh1,24,autoformer,formal_seed42,0.44425079226493835,0.44611856341362,0.6524125633711164,0.07668772339820862,0.21182765066623688,0.5049130085763658,0.38900454445131893,0.6128480304246662,10,42,0,8521,2761,5781,89271,46.93187665939331,mps,/Users/tujiajun/Desktop/Research-Training/data/processed
ETTh1,24,informer,formal_seed42,0.6243582963943481,0.5490962266921997,0.5114942088892401,0.17984530329704285,0.3256336450576782,-0.1610602537873429,0.5261386556700728,0.531190837251729,7,42,0,8521,2761,5781,99423,26.472309112548828,mps,/Users/tujiajun/Desktop/Research-Training/data/processed
ETTh1,24,lstm,formal_seed42,0.870238721370697,0.6649889945983887,0.3191142404046139,0.25487086176872253,0.41660434007644653,-0.6454165565109655,0.8796447536040997,0.34037647781700925,11,42,0,8521,2761,5781,67048,42.838698863983154,mps,/Users/tujiajun/Desktop/Research-Training/data/processed
ETTh1,24,patchtst,formal_seed42,0.3802126348018646,0.41115206480026245,0.70251682914431,0.0635678768157959,0.19395782053470612,0.5896132400766361,0.44481087510270634,0.6025582277911833,11,42,0,8521,2761,5781,76592,28.52826714515686,mps,/Users/tujiajun/Desktop/Research-Training/data/processed
ETTh1,24,transformer,formal_seed42,0.7434156537055969,0.6426082849502563,0.41834219636043035,0.4686937928199768,0.6113147735595703,-2.0258323737078707,0.6276985888165989,0.4758580758653838,8,42,0,8521,2761,5781,82536,20.4147469997406,mps,/Users/tujiajun/Desktop/Research-Training/data/processed
