dataset,horizon,model,run_tag,MSE,MAE,R2,MSE_target,MAE_target,R2_target,best_val_loss,best_val_r2,trained_epochs,seed,sample_limit,train_samples,val_samples,test_samples,model_params,train_time_seconds,device,data_dir
ETTh1,96,autoformer,formal_seed42,0.6014952063560486,0.5417332053184509,0.5286595821380615,0.11697035282850266,0.26678720116615295,0.2465795874595642,0.6682622879743576,0.45292565612231983,6,42,0,8449,2689,5709,103239,76.88387894630432,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTh1,96,patchtst,formal_seed42,0.48317474126815796,0.47223684191703796,0.6213772296905518,0.07876595109701157,0.21740901470184326,0.492658793926239,0.6913498001063572,0.44767957715427176,17,42,0,8449,2689,5709,99776,131.52726554870605,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTh1,336,autoformer,formal_seed42,0.6893956065177917,0.5987886190414429,0.4580533504486084,0.19263187050819397,0.3521275222301483,-0.22754156589508057,1.0691864320210047,0.19984358239483524,8,42,0,8209,2449,5469,149799,160.84713315963745,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTh1,336,patchtst,formal_seed42,0.5943669676780701,0.5450114011764526,0.5327571034431458,0.11560934036970139,0.2721794843673706,0.26328253746032715,1.0674816822850859,0.20049442408920884,8,42,0,8209,2449,5469,177056,56.889050006866455,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
