dataset,horizon,model,run_tag,MSE,MAE,R2,MSE_target,MAE_target,R2_target,best_val_loss,best_val_r2,trained_epochs,seed,sample_limit,train_samples,val_samples,test_samples,model_params,train_time_seconds,device,data_dir
ETTm1,48,autoformer,formal_seed42,0.4474732577800751,0.43947499990463257,0.6485849618911743,0.038574595004320145,0.14856082201004028,0.7532556056976318,0.34224535556238017,0.5997158290629976,7,42,0,34417,11377,23457,93927,389.0269367694855,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTm1,48,informer,formal_seed42,0.7574121952056885,0.5532171130180359,0.40518009662628174,0.07232334464788437,0.2039751410484314,0.5373799800872803,0.5003750410475089,0.531788274980663,6,42,0,34417,11377,23457,101751,349.43067932128906,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTm1,48,lstm,formal_seed42,0.7902225852012634,0.5947834849357605,0.37941300868988037,0.1261122077703476,0.27198487520217896,0.19331669807434082,0.8566212254586849,0.33360265094912456,7,42,0,34417,11377,23457,77968,197.90702557563782,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTm1,48,patchtst,formal_seed42,0.45278310775756836,0.41703668236732483,0.644415020942688,0.03188196197152138,0.13029664754867554,0.7960653901100159,0.4202297115279885,0.5740834883089816,8,42,0,34417,11377,23457,84320,268.7498080730438,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTm1,48,transformer,formal_seed42,0.7587051391601562,0.5619596838951111,0.4041646718978882,0.10734238475561142,0.2650321125984192,0.31337887048721313,0.5313262105867099,0.5374542524975338,6,42,0,34417,11377,23457,93456,377.1221284866333,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
