dataset,horizon,model,run_tag,MSE,MAE,R2,MSE_target,MAE_target,R2_target,best_val_loss,best_val_r2,trained_epochs,seed,sample_limit,train_samples,val_samples,test_samples,model_params,train_time_seconds,device,data_dir
ETTm1,168,autoformer,formal_seed42,0.5085729956626892,0.48025450110435486,0.599254846572876,0.07114717364311218,0.2041866034269333,0.5451004505157471,0.5007196894677525,0.5105609826066277,7,42,0,34297,11257,23337,117207,486.3292815685272,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTm1,168,informer,formal_seed42,0.7756838798522949,0.6230519413948059,0.3887770175933838,0.30722686648368835,0.4451770484447479,-0.9643417596817017,0.663133721227165,0.4375060883096673,6,42,0,34297,11257,23337,113391,425.3150496482849,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTm1,168,lstm,formal_seed42,0.9400553107261658,0.6948147416114807,0.25925564765930176,0.2947482466697693,0.4585200250148773,-0.8845561742782593,0.9980670779266141,0.25596011768687854,8,42,0,34297,11257,23337,132568,224.62901997566223,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTm1,168,patchtst,formal_seed42,0.5103133916854858,0.4670921266078949,0.5978834629058838,0.09453654289245605,0.230244979262352,0.39555394649505615,0.5520060629033569,0.4931253340433944,10,42,0,34297,11257,23337,122960,338.24407148361206,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTm1,168,transformer,formal_seed42,0.8717475533485413,0.6429835557937622,0.3130807876586914,0.2168549746274948,0.3743985593318939,-0.38652336597442627,0.7004285175988282,0.4325426898219369,6,42,0,34297,11257,23337,148056,347.75551176071167,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
