dataset,horizon,model,run_tag,MSE,MAE,R2,MSE_target,MAE_target,R2_target,best_val_loss,best_val_r2,trained_epochs,seed,sample_limit,train_samples,val_samples,test_samples,model_params,train_time_seconds,device,data_dir
ETTm1,24,autoformer,formal_seed42,0.30705949664115906,0.35164764523506165,0.7589346170425415,0.019020697101950645,0.10009301453828812,0.8782714605331421,0.23313440467004015,0.7142418674728116,8,42,0,34441,11401,23481,89271,366.62749576568604,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTm1,24,informer,formal_seed42,0.4829420745372772,0.4498685300350189,0.6208533048629761,0.13416217267513275,0.28318899869918823,0.1413899064064026,0.36548766096224305,0.653241244183869,6,42,0,34441,11401,23481,99423,292.45659041404724,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTm1,24,lstm,formal_seed42,0.5738314986228943,0.5129918456077576,0.5494980812072754,0.13174806535243988,0.27782967686653137,0.15683972835540771,0.6990169461826984,0.424679054766476,6,42,0,34441,11401,23481,67048,174.34022188186646,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTm1,24,patchtst,formal_seed42,0.31239384412765503,0.3407658338546753,0.7547467947006226,0.016327856108546257,0.0908074751496315,0.8955051302909851,0.2908364122926521,0.6916164103008452,12,42,0,34441,11401,23481,76592,358.3268735408783,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTm1,24,transformer,formal_seed42,0.5019618272781372,0.44214996695518494,0.6059212684631348,0.06982756406068802,0.21389687061309814,0.5531180500984192,0.4012003510939975,0.6234556785484656,6,42,0,34441,11401,23481,82536,341.79593205451965,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
