dataset,horizon,model,run_tag,MSE,MAE,R2,MSE_target,MAE_target,R2_target,best_val_loss,best_val_r2,trained_epochs,seed,sample_limit,train_samples,val_samples,test_samples,model_params,train_time_seconds,device,data_dir
ETTm1,24,autoformer,formal_seed42,0.30705949664115906,0.35164764523506165,0.7589346170425415,0.019020697101950645,0.10009301453828812,0.8782714605331421,0.23313440467004015,0.7142418674728116,8,42,0,34441,11401,23481,89271,366.62749576568604,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTm1,24,informer,formal_seed42,0.4829420745372772,0.4498685300350189,0.6208533048629761,0.13416217267513275,0.28318899869918823,0.1413899064064026,0.36548766096224305,0.653241244183869,6,42,0,34441,11401,23481,99423,292.45659041404724,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTm1,24,lstm,formal_seed42,0.5738314986228943,0.5129918456077576,0.5494980812072754,0.13174806535243988,0.27782967686653137,0.15683972835540771,0.6990169461826984,0.424679054766476,6,42,0,34441,11401,23481,67048,174.34022188186646,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTm1,24,patchtst,formal_seed42,0.31239384412765503,0.3407658338546753,0.7547467947006226,0.016327856108546257,0.0908074751496315,0.8955051302909851,0.2908364122926521,0.6916164103008452,12,42,0,34441,11401,23481,76592,358.3268735408783,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTm1,24,transformer,formal_seed42,0.5019618272781372,0.44214996695518494,0.6059212684631348,0.06982756406068802,0.21389687061309814,0.5531180500984192,0.4012003510939975,0.6234556785484656,6,42,0,34441,11401,23481,82536,341.79593205451965,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTm1,48,autoformer,formal_seed42,0.4474732577800751,0.43947499990463257,0.6485849618911743,0.038574595004320145,0.14856082201004028,0.7532556056976318,0.34224535556238017,0.5997158290629976,7,42,0,34417,11377,23457,93927,389.0269367694855,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTm1,48,informer,formal_seed42,0.7574121952056885,0.5532171130180359,0.40518009662628174,0.07232334464788437,0.2039751410484314,0.5373799800872803,0.5003750410475089,0.531788274980663,6,42,0,34417,11377,23457,101751,349.43067932128906,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTm1,48,lstm,formal_seed42,0.7902225852012634,0.5947834849357605,0.37941300868988037,0.1261122077703476,0.27198487520217896,0.19331669807434082,0.8566212254586849,0.33360265094912456,7,42,0,34417,11377,23457,77968,197.90702557563782,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTm1,48,patchtst,formal_seed42,0.45278310775756836,0.41703668236732483,0.644415020942688,0.03188196197152138,0.13029664754867554,0.7960653901100159,0.4202297115279885,0.5740834883089816,8,42,0,34417,11377,23457,84320,268.7498080730438,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTm1,48,transformer,formal_seed42,0.7587051391601562,0.5619596838951111,0.4041646718978882,0.10734238475561142,0.2650321125984192,0.31337887048721313,0.5313262105867099,0.5374542524975338,6,42,0,34417,11377,23457,93456,377.1221284866333,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
