dataset,horizon,model,run_tag,MSE,MAE,R2,MSE_target,MAE_target,R2_target,best_val_loss,best_val_r2,trained_epochs,seed,sample_limit,train_samples,val_samples,test_samples,model_params,train_time_seconds,device,data_dir
ETTh1,24,autoformer,formal_seed42,0.44425079226493835,0.44611856341362,0.6524125633711164,0.07668772339820862,0.21182765066623688,0.5049130085763658,0.38900454445131893,0.6128480304246662,10,42,0,8521,2761,5781,89271,46.93187665939331,mps,/Users/tujiajun/Desktop/Research-Training/data/processed
ETTh1,24,informer,formal_seed42,0.6243582963943481,0.5490962266921997,0.5114942088892401,0.17984530329704285,0.3256336450576782,-0.1610602537873429,0.5261386556700728,0.531190837251729,7,42,0,8521,2761,5781,99423,26.472309112548828,mps,/Users/tujiajun/Desktop/Research-Training/data/processed
ETTh1,24,lstm,formal_seed42,0.870238721370697,0.6649889945983887,0.3191142404046139,0.25487086176872253,0.41660434007644653,-0.6454165565109655,0.8796447536040997,0.34037647781700925,11,42,0,8521,2761,5781,67048,42.838698863983154,mps,/Users/tujiajun/Desktop/Research-Training/data/processed
ETTh1,24,patchtst,formal_seed42,0.3802126348018646,0.41115206480026245,0.70251682914431,0.0635678768157959,0.19395782053470612,0.5896132400766361,0.44481087510270634,0.6025582277911833,11,42,0,8521,2761,5781,76592,28.52826714515686,mps,/Users/tujiajun/Desktop/Research-Training/data/processed
ETTh1,24,transformer,formal_seed42,0.7434156537055969,0.6426082849502563,0.41834219636043035,0.4686937928199768,0.6113147735595703,-2.0258323737078707,0.6276985888165989,0.4758580758653838,8,42,0,8521,2761,5781,82536,20.4147469997406,mps,/Users/tujiajun/Desktop/Research-Training/data/processed
ETTh1,48,autoformer,formal_seed42,0.5590663552284241,0.5040062665939331,0.5620069923364586,0.09223202615976334,0.2342877835035324,0.404049601949655,0.511993499689324,0.5279499819112379,9,42,0,8497,2737,5757,93927,48.273722887039185,mps,/Users/tujiajun/Desktop/Research-Training/data/processed
ETTh1,48,informer,formal_seed42,0.6388604640960693,0.5867485404014587,0.499493380123067,0.7408012747764587,0.7456939220428467,-3.7866325184765346,0.72581639227479,0.4223491001960843,8,42,0,8497,2737,5757,101751,30.862953901290894,mps,/Users/tujiajun/Desktop/Research-Training/data/processed
ETTh1,48,lstm,formal_seed42,0.8796215653419495,0.6831222176551819,0.3108723248045513,0.3388148248195648,0.4848206639289856,-1.189226879641736,0.9182529482384061,0.3184578190016192,8,42,0,8497,2737,5757,77968,33.294440031051636,mps,/Users/tujiajun/Desktop/Research-Training/data/processed
ETTh1,48,patchtst,formal_seed42,0.42025119066238403,0.43255215883255005,0.670759856913173,0.06036551296710968,0.18431365489959717,0.6099527235130191,0.5487285722480264,0.5322379192640615,11,42,0,8497,2737,5757,84320,27.913988828659058,mps,/Users/tujiajun/Desktop/Research-Training/data/processed
ETTh1,48,transformer,formal_seed42,1.2716197967529297,0.8799547553062439,0.0037666152537224606,0.7891784310340881,0.7809563875198364,-4.099217782388134,0.7855961147782414,0.38596767949503524,9,42,0,8497,2737,5757,93456,23.03017282485962,mps,/Users/tujiajun/Desktop/Research-Training/data/processed
ETTh1,96,autoformer,formal_seed42,0.6014952063560486,0.5417332053184509,0.5286595821380615,0.11697035282850266,0.26678720116615295,0.2465795874595642,0.6682622879743576,0.45292565612231983,6,42,0,8449,2689,5709,103239,76.88387894630432,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTh1,96,informer,formal_seed42,0.980397641658783,0.7545990943908691,0.23174607753753662,0.7261182069778442,0.723888635635376,-3.6770167350769043,0.8792073740678675,0.31634452062494617,8,42,0,8449,2689,5709,106407,107.57198166847229,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTh1,96,lstm,formal_seed42,1.0501518249511719,0.7806593775749207,0.17708563804626465,0.33161747455596924,0.49312689900398254,-1.1359889507293701,1.0766863600296133,0.22826068751952228,10,42,0,8449,2689,5709,99808,69.41448545455933,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTh1,96,patchtst,formal_seed42,0.48317474126815796,0.47223684191703796,0.6213772296905518,0.07876595109701157,0.21740901470184326,0.492658793926239,0.6913498001063572,0.44767957715427176,17,42,0,8449,2689,5709,99776,131.52726554870605,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTh1,96,transformer,formal_seed42,0.8815512657165527,0.7211780548095703,0.309203565120697,1.3125191926956177,1.0213850736618042,-7.454097747802734,0.8838955823112936,0.3011797358007992,8,42,0,8449,2689,5709,115296,106.77923917770386,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTh1,168,autoformer,formal_seed42,0.5746665000915527,0.5292689800262451,0.5498607158660889,0.12654832005500793,0.274676650762558,0.18845123052597046,0.8334606004560866,0.3551692301180305,7,42,0,8377,2617,5637,117207,121.69045901298523,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
