dataset,horizon,model,run_tag,MSE,MAE,R2,MSE_target,MAE_target,R2_target,best_val_loss,best_val_r2,trained_epochs,seed,sample_limit,train_samples,val_samples,test_samples,model_params,train_time_seconds,device,data_dir
ETTm1,96,autoformer,formal_seed42,0.46052443981170654,0.4522871971130371,0.6375195980072021,0.053474873304367065,0.17381516098976135,0.6581381559371948,0.40809035874168637,0.5837864531597621,6,42,0,34369,11329,23409,103239,320.17295026779175,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTm1,96,informer,formal_seed42,0.6951895952224731,0.5762917995452881,0.45281386375427246,0.38266366720199585,0.501711905002594,-1.4463474750518799,0.584030516991313,0.4806322577973487,6,42,0,34369,11329,23409,106407,1012.2574741840363,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTm1,96,lstm,formal_seed42,0.874116837978363,0.6534501910209656,0.31197965145111084,0.2916897237300873,0.45392727851867676,-0.8647562265396118,0.8912040149242105,0.3302735662796128,6,42,0,34369,11329,23409,99808,161.2762749195099,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTm1,96,patchtst,formal_seed42,0.46696192026138306,0.4349454641342163,0.632452666759491,0.06121998652815819,0.18839499354362488,0.6086240410804749,0.4753776946537931,0.5380037371541413,11,42,0,34369,11329,23409,99776,357.7159206867218,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTm1,96,transformer,formal_seed42,0.7791895270347595,0.6147754788398743,0.3866972327232361,0.2718246877193451,0.43364229798316956,-0.737760066986084,0.6432697270957517,0.4666193639728385,6,42,0,34369,11329,23409,115296,376.9404034614563,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
