dataset,horizon,model,run_tag,MSE,MAE,R2,MSE_target,MAE_target,R2_target,best_val_loss,best_val_r2,trained_epochs,seed,sample_limit,train_samples,val_samples,test_samples,model_params,train_time_seconds,device,data_dir
ETTh1,336,autoformer,formal_seed42,0.6893956065177917,0.5987886190414429,0.4580533504486084,0.19263187050819397,0.3521275222301483,-0.22754156589508057,1.0691864320210047,0.19984358239483524,8,42,0,8209,2449,5469,149799,160.84713315963745,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTh1,336,informer,formal_seed42,1.0249017477035522,0.794585645198822,0.19430577754974365,0.7682111859321594,0.7851676940917969,-3.8954057693481445,1.3212456865744158,0.04926886186971293,6,42,0,8209,2449,5469,129687,124.6352026462555,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTh1,336,lstm,formal_seed42,1.118262767791748,0.8028342723846436,0.12091284990310669,0.4897376000881195,0.5928485989570618,-2.120840072631836,1.3943096530901922,0.01831766227623085,12,42,0,8209,2449,5469,209008,93.46488451957703,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTh1,336,patchtst,formal_seed42,0.5943669676780701,0.5450114011764526,0.5327571034431458,0.11560934036970139,0.2721794843673706,0.26328253746032715,1.0674816822850859,0.20049442408920884,8,42,0,8209,2449,5469,177056,56.889050006866455,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
ETTh1,336,transformer,formal_seed42,1.025600790977478,0.7669590711593628,0.19375622272491455,0.740178108215332,0.7262176871299744,-3.7167654037475586,1.3065797849134966,0.07457380790215035,14,42,0,8209,2449,5469,224496,184.52842926979065,cpu,C:\Users\LOKER\Desktop\Research-Training\data\processed
